model,wanted,prediction,count
object100_pt_mobilenet_v2_01_13,ecouteurs,ecouteurs,16
object100_pt_mobilenet_v2_01_13,ecouteurs,keycap-puller,0
object100_pt_mobilenet_v2_01_13,ecouteurs,other,0
object100_pt_mobilenet_v2_01_13,ecouteurs,pc-stand,0
object100_pt_mobilenet_v2_01_13,ecouteurs,porte-mine,0
object100_pt_mobilenet_v2_01_13,keycap-puller,ecouteurs,0
object100_pt_mobilenet_v2_01_13,keycap-puller,keycap-puller,25
object100_pt_mobilenet_v2_01_13,keycap-puller,other,2
object100_pt_mobilenet_v2_01_13,keycap-puller,pc-stand,0
object100_pt_mobilenet_v2_01_13,keycap-puller,porte-mine,2
object100_pt_mobilenet_v2_01_13,other,ecouteurs,0
object100_pt_mobilenet_v2_01_13,other,keycap-puller,1
object100_pt_mobilenet_v2_01_13,other,other,18
object100_pt_mobilenet_v2_01_13,other,pc-stand,0
object100_pt_mobilenet_v2_01_13,other,porte-mine,0
object100_pt_mobilenet_v2_01_13,pc-stand,ecouteurs,0
object100_pt_mobilenet_v2_01_13,pc-stand,keycap-puller,0
object100_pt_mobilenet_v2_01_13,pc-stand,other,0
object100_pt_mobilenet_v2_01_13,pc-stand,pc-stand,15
object100_pt_mobilenet_v2_01_13,pc-stand,porte-mine,1
object100_pt_mobilenet_v2_01_13,porte-mine,ecouteurs,0
object100_pt_mobilenet_v2_01_13,porte-mine,keycap-puller,3
object100_pt_mobilenet_v2_01_13,porte-mine,other,1
object100_pt_mobilenet_v2_01_13,porte-mine,pc-stand,0
object100_pt_mobilenet_v2_01_13,porte-mine,porte-mine,15
