model,wanted,prediction,count
object100_pt_mobilenet_v2_01_132,ecouteurs,ecouteurs,16
object100_pt_mobilenet_v2_01_132,ecouteurs,keycap-puller,0
object100_pt_mobilenet_v2_01_132,ecouteurs,other,0
object100_pt_mobilenet_v2_01_132,ecouteurs,pc-stand,0
object100_pt_mobilenet_v2_01_132,ecouteurs,porte-mine,0
object100_pt_mobilenet_v2_01_132,keycap-puller,ecouteurs,0
object100_pt_mobilenet_v2_01_132,keycap-puller,keycap-puller,23
object100_pt_mobilenet_v2_01_132,keycap-puller,other,2
object100_pt_mobilenet_v2_01_132,keycap-puller,pc-stand,0
object100_pt_mobilenet_v2_01_132,keycap-puller,porte-mine,4
object100_pt_mobilenet_v2_01_132,other,ecouteurs,0
object100_pt_mobilenet_v2_01_132,other,keycap-puller,1
object100_pt_mobilenet_v2_01_132,other,other,17
object100_pt_mobilenet_v2_01_132,other,pc-stand,0
object100_pt_mobilenet_v2_01_132,other,porte-mine,1
object100_pt_mobilenet_v2_01_132,pc-stand,ecouteurs,0
object100_pt_mobilenet_v2_01_132,pc-stand,keycap-puller,0
object100_pt_mobilenet_v2_01_132,pc-stand,other,0
object100_pt_mobilenet_v2_01_132,pc-stand,pc-stand,15
object100_pt_mobilenet_v2_01_132,pc-stand,porte-mine,1
object100_pt_mobilenet_v2_01_132,porte-mine,ecouteurs,0
object100_pt_mobilenet_v2_01_132,porte-mine,keycap-puller,0
object100_pt_mobilenet_v2_01_132,porte-mine,other,0
object100_pt_mobilenet_v2_01_132,porte-mine,pc-stand,0
object100_pt_mobilenet_v2_01_132,porte-mine,porte-mine,19
