model,wanted,prediction,count
object100_pt_mobilenet_v2_02_29,ecouteurs,ecouteurs,16
object100_pt_mobilenet_v2_02_29,ecouteurs,keycap-puller,0
object100_pt_mobilenet_v2_02_29,ecouteurs,other,0
object100_pt_mobilenet_v2_02_29,ecouteurs,pc-stand,0
object100_pt_mobilenet_v2_02_29,ecouteurs,porte-mine,0
object100_pt_mobilenet_v2_02_29,keycap-puller,ecouteurs,0
object100_pt_mobilenet_v2_02_29,keycap-puller,keycap-puller,27
object100_pt_mobilenet_v2_02_29,keycap-puller,other,1
object100_pt_mobilenet_v2_02_29,keycap-puller,pc-stand,0
object100_pt_mobilenet_v2_02_29,keycap-puller,porte-mine,1
object100_pt_mobilenet_v2_02_29,other,ecouteurs,1
object100_pt_mobilenet_v2_02_29,other,keycap-puller,1
object100_pt_mobilenet_v2_02_29,other,other,17
object100_pt_mobilenet_v2_02_29,other,pc-stand,0
object100_pt_mobilenet_v2_02_29,other,porte-mine,0
object100_pt_mobilenet_v2_02_29,pc-stand,ecouteurs,0
object100_pt_mobilenet_v2_02_29,pc-stand,keycap-puller,0
object100_pt_mobilenet_v2_02_29,pc-stand,other,0
object100_pt_mobilenet_v2_02_29,pc-stand,pc-stand,15
object100_pt_mobilenet_v2_02_29,pc-stand,porte-mine,1
object100_pt_mobilenet_v2_02_29,porte-mine,ecouteurs,0
object100_pt_mobilenet_v2_02_29,porte-mine,keycap-puller,1
object100_pt_mobilenet_v2_02_29,porte-mine,other,0
object100_pt_mobilenet_v2_02_29,porte-mine,pc-stand,0
object100_pt_mobilenet_v2_02_29,porte-mine,porte-mine,18
