model,wanted,prediction,count
object100_pt_efficientnet_b0_00_19,ecouteurs,ecouteurs,16
object100_pt_efficientnet_b0_00_19,ecouteurs,keycap-puller,0
object100_pt_efficientnet_b0_00_19,ecouteurs,other,0
object100_pt_efficientnet_b0_00_19,ecouteurs,pc-stand,0
object100_pt_efficientnet_b0_00_19,ecouteurs,porte-mine,0
object100_pt_efficientnet_b0_00_19,keycap-puller,ecouteurs,0
object100_pt_efficientnet_b0_00_19,keycap-puller,keycap-puller,25
object100_pt_efficientnet_b0_00_19,keycap-puller,other,1
object100_pt_efficientnet_b0_00_19,keycap-puller,pc-stand,0
object100_pt_efficientnet_b0_00_19,keycap-puller,porte-mine,3
object100_pt_efficientnet_b0_00_19,other,ecouteurs,1
object100_pt_efficientnet_b0_00_19,other,keycap-puller,1
object100_pt_efficientnet_b0_00_19,other,other,17
object100_pt_efficientnet_b0_00_19,other,pc-stand,0
object100_pt_efficientnet_b0_00_19,other,porte-mine,0
object100_pt_efficientnet_b0_00_19,pc-stand,ecouteurs,0
object100_pt_efficientnet_b0_00_19,pc-stand,keycap-puller,0
object100_pt_efficientnet_b0_00_19,pc-stand,other,0
object100_pt_efficientnet_b0_00_19,pc-stand,pc-stand,16
object100_pt_efficientnet_b0_00_19,pc-stand,porte-mine,0
object100_pt_efficientnet_b0_00_19,porte-mine,ecouteurs,0
object100_pt_efficientnet_b0_00_19,porte-mine,keycap-puller,0
object100_pt_efficientnet_b0_00_19,porte-mine,other,0
object100_pt_efficientnet_b0_00_19,porte-mine,pc-stand,0
object100_pt_efficientnet_b0_00_19,porte-mine,porte-mine,19
