model,wanted,prediction,count
object100_tf_mobilenet_v2_00_21,ecouteurs,ecouteurs,23
object100_tf_mobilenet_v2_00_21,ecouteurs,keycap-puller,0
object100_tf_mobilenet_v2_00_21,ecouteurs,other,0
object100_tf_mobilenet_v2_00_21,ecouteurs,pc-stand,0
object100_tf_mobilenet_v2_00_21,ecouteurs,porte-mine,0
object100_tf_mobilenet_v2_00_21,keycap-puller,ecouteurs,0
object100_tf_mobilenet_v2_00_21,keycap-puller,keycap-puller,17
object100_tf_mobilenet_v2_00_21,keycap-puller,other,1
object100_tf_mobilenet_v2_00_21,keycap-puller,pc-stand,0
object100_tf_mobilenet_v2_00_21,keycap-puller,porte-mine,4
object100_tf_mobilenet_v2_00_21,other,ecouteurs,0
object100_tf_mobilenet_v2_00_21,other,keycap-puller,0
object100_tf_mobilenet_v2_00_21,other,other,12
object100_tf_mobilenet_v2_00_21,other,pc-stand,0
object100_tf_mobilenet_v2_00_21,other,porte-mine,1
object100_tf_mobilenet_v2_00_21,pc-stand,ecouteurs,0
object100_tf_mobilenet_v2_00_21,pc-stand,keycap-puller,0
object100_tf_mobilenet_v2_00_21,pc-stand,other,1
object100_tf_mobilenet_v2_00_21,pc-stand,pc-stand,15
object100_tf_mobilenet_v2_00_21,pc-stand,porte-mine,0
object100_tf_mobilenet_v2_00_21,porte-mine,ecouteurs,0
object100_tf_mobilenet_v2_00_21,porte-mine,keycap-puller,1
object100_tf_mobilenet_v2_00_21,porte-mine,other,1
object100_tf_mobilenet_v2_00_21,porte-mine,pc-stand,1
object100_tf_mobilenet_v2_00_21,porte-mine,porte-mine,22
