model,wanted,prediction,count
object100_tf_mobilenet_v2_00_16,ecouteurs,ecouteurs,23
object100_tf_mobilenet_v2_00_16,ecouteurs,keycap-puller,0
object100_tf_mobilenet_v2_00_16,ecouteurs,other,0
object100_tf_mobilenet_v2_00_16,ecouteurs,pc-stand,0
object100_tf_mobilenet_v2_00_16,ecouteurs,porte-mine,0
object100_tf_mobilenet_v2_00_16,keycap-puller,ecouteurs,0
object100_tf_mobilenet_v2_00_16,keycap-puller,keycap-puller,19
object100_tf_mobilenet_v2_00_16,keycap-puller,other,1
object100_tf_mobilenet_v2_00_16,keycap-puller,pc-stand,0
object100_tf_mobilenet_v2_00_16,keycap-puller,porte-mine,2
object100_tf_mobilenet_v2_00_16,other,ecouteurs,0
object100_tf_mobilenet_v2_00_16,other,keycap-puller,0
object100_tf_mobilenet_v2_00_16,other,other,12
object100_tf_mobilenet_v2_00_16,other,pc-stand,1
object100_tf_mobilenet_v2_00_16,other,porte-mine,0
object100_tf_mobilenet_v2_00_16,pc-stand,ecouteurs,0
object100_tf_mobilenet_v2_00_16,pc-stand,keycap-puller,0
object100_tf_mobilenet_v2_00_16,pc-stand,other,0
object100_tf_mobilenet_v2_00_16,pc-stand,pc-stand,16
object100_tf_mobilenet_v2_00_16,pc-stand,porte-mine,0
object100_tf_mobilenet_v2_00_16,porte-mine,ecouteurs,0
object100_tf_mobilenet_v2_00_16,porte-mine,keycap-puller,2
object100_tf_mobilenet_v2_00_16,porte-mine,other,1
object100_tf_mobilenet_v2_00_16,porte-mine,pc-stand,2
object100_tf_mobilenet_v2_00_16,porte-mine,porte-mine,20
