model,wanted,prediction,count
object100_pt_mobilenet_v2_02_86,ecouteurs,ecouteurs,16
object100_pt_mobilenet_v2_02_86,ecouteurs,keycap-puller,0
object100_pt_mobilenet_v2_02_86,ecouteurs,other,0
object100_pt_mobilenet_v2_02_86,ecouteurs,pc-stand,0
object100_pt_mobilenet_v2_02_86,ecouteurs,porte-mine,0
object100_pt_mobilenet_v2_02_86,keycap-puller,ecouteurs,0
object100_pt_mobilenet_v2_02_86,keycap-puller,keycap-puller,27
object100_pt_mobilenet_v2_02_86,keycap-puller,other,1
object100_pt_mobilenet_v2_02_86,keycap-puller,pc-stand,1
object100_pt_mobilenet_v2_02_86,keycap-puller,porte-mine,0
object100_pt_mobilenet_v2_02_86,other,ecouteurs,0
object100_pt_mobilenet_v2_02_86,other,keycap-puller,1
object100_pt_mobilenet_v2_02_86,other,other,18
object100_pt_mobilenet_v2_02_86,other,pc-stand,0
object100_pt_mobilenet_v2_02_86,other,porte-mine,0
object100_pt_mobilenet_v2_02_86,pc-stand,ecouteurs,0
object100_pt_mobilenet_v2_02_86,pc-stand,keycap-puller,0
object100_pt_mobilenet_v2_02_86,pc-stand,other,0
object100_pt_mobilenet_v2_02_86,pc-stand,pc-stand,16
object100_pt_mobilenet_v2_02_86,pc-stand,porte-mine,0
object100_pt_mobilenet_v2_02_86,porte-mine,ecouteurs,0
object100_pt_mobilenet_v2_02_86,porte-mine,keycap-puller,1
object100_pt_mobilenet_v2_02_86,porte-mine,other,0
object100_pt_mobilenet_v2_02_86,porte-mine,pc-stand,0
object100_pt_mobilenet_v2_02_86,porte-mine,porte-mine,18
