model,wanted,prediction,count
object100_pt_mobilenet_v2_00_00,ecouteurs,ecouteurs,16
object100_pt_mobilenet_v2_00_00,ecouteurs,keycap-puller,0
object100_pt_mobilenet_v2_00_00,ecouteurs,other,0
object100_pt_mobilenet_v2_00_00,ecouteurs,pc-stand,0
object100_pt_mobilenet_v2_00_00,ecouteurs,porte-mine,0
object100_pt_mobilenet_v2_00_00,keycap-puller,ecouteurs,0
object100_pt_mobilenet_v2_00_00,keycap-puller,keycap-puller,20
object100_pt_mobilenet_v2_00_00,keycap-puller,other,1
object100_pt_mobilenet_v2_00_00,keycap-puller,pc-stand,0
object100_pt_mobilenet_v2_00_00,keycap-puller,porte-mine,8
object100_pt_mobilenet_v2_00_00,other,ecouteurs,1
object100_pt_mobilenet_v2_00_00,other,keycap-puller,2
object100_pt_mobilenet_v2_00_00,other,other,15
object100_pt_mobilenet_v2_00_00,other,pc-stand,0
object100_pt_mobilenet_v2_00_00,other,porte-mine,1
object100_pt_mobilenet_v2_00_00,pc-stand,ecouteurs,0
object100_pt_mobilenet_v2_00_00,pc-stand,keycap-puller,0
object100_pt_mobilenet_v2_00_00,pc-stand,other,0
object100_pt_mobilenet_v2_00_00,pc-stand,pc-stand,14
object100_pt_mobilenet_v2_00_00,pc-stand,porte-mine,2
object100_pt_mobilenet_v2_00_00,porte-mine,ecouteurs,0
object100_pt_mobilenet_v2_00_00,porte-mine,keycap-puller,0
object100_pt_mobilenet_v2_00_00,porte-mine,other,0
object100_pt_mobilenet_v2_00_00,porte-mine,pc-stand,0
object100_pt_mobilenet_v2_00_00,porte-mine,porte-mine,19
