model,wanted,prediction,count
object100_pt_efficientnet_b0_00_56,ecouteurs,ecouteurs,16
object100_pt_efficientnet_b0_00_56,ecouteurs,keycap-puller,0
object100_pt_efficientnet_b0_00_56,ecouteurs,other,0
object100_pt_efficientnet_b0_00_56,ecouteurs,pc-stand,0
object100_pt_efficientnet_b0_00_56,ecouteurs,porte-mine,0
object100_pt_efficientnet_b0_00_56,keycap-puller,ecouteurs,0
object100_pt_efficientnet_b0_00_56,keycap-puller,keycap-puller,24
object100_pt_efficientnet_b0_00_56,keycap-puller,other,1
object100_pt_efficientnet_b0_00_56,keycap-puller,pc-stand,0
object100_pt_efficientnet_b0_00_56,keycap-puller,porte-mine,4
object100_pt_efficientnet_b0_00_56,other,ecouteurs,1
object100_pt_efficientnet_b0_00_56,other,keycap-puller,1
object100_pt_efficientnet_b0_00_56,other,other,17
object100_pt_efficientnet_b0_00_56,other,pc-stand,0
object100_pt_efficientnet_b0_00_56,other,porte-mine,0
object100_pt_efficientnet_b0_00_56,pc-stand,ecouteurs,0
object100_pt_efficientnet_b0_00_56,pc-stand,keycap-puller,0
object100_pt_efficientnet_b0_00_56,pc-stand,other,0
object100_pt_efficientnet_b0_00_56,pc-stand,pc-stand,16
object100_pt_efficientnet_b0_00_56,pc-stand,porte-mine,0
object100_pt_efficientnet_b0_00_56,porte-mine,ecouteurs,0
object100_pt_efficientnet_b0_00_56,porte-mine,keycap-puller,0
object100_pt_efficientnet_b0_00_56,porte-mine,other,0
object100_pt_efficientnet_b0_00_56,porte-mine,pc-stand,0
object100_pt_efficientnet_b0_00_56,porte-mine,porte-mine,19
