model,wanted,prediction,count
object100_tf_mobilenet_v2_00_10,ecouteurs,ecouteurs,23
object100_tf_mobilenet_v2_00_10,ecouteurs,keycap-puller,0
object100_tf_mobilenet_v2_00_10,ecouteurs,other,0
object100_tf_mobilenet_v2_00_10,ecouteurs,pc-stand,0
object100_tf_mobilenet_v2_00_10,ecouteurs,porte-mine,0
object100_tf_mobilenet_v2_00_10,keycap-puller,ecouteurs,0
object100_tf_mobilenet_v2_00_10,keycap-puller,keycap-puller,18
object100_tf_mobilenet_v2_00_10,keycap-puller,other,1
object100_tf_mobilenet_v2_00_10,keycap-puller,pc-stand,0
object100_tf_mobilenet_v2_00_10,keycap-puller,porte-mine,3
object100_tf_mobilenet_v2_00_10,other,ecouteurs,0
object100_tf_mobilenet_v2_00_10,other,keycap-puller,0
object100_tf_mobilenet_v2_00_10,other,other,12
object100_tf_mobilenet_v2_00_10,other,pc-stand,0
object100_tf_mobilenet_v2_00_10,other,porte-mine,1
object100_tf_mobilenet_v2_00_10,pc-stand,ecouteurs,0
object100_tf_mobilenet_v2_00_10,pc-stand,keycap-puller,0
object100_tf_mobilenet_v2_00_10,pc-stand,other,1
object100_tf_mobilenet_v2_00_10,pc-stand,pc-stand,15
object100_tf_mobilenet_v2_00_10,pc-stand,porte-mine,0
object100_tf_mobilenet_v2_00_10,porte-mine,ecouteurs,1
object100_tf_mobilenet_v2_00_10,porte-mine,keycap-puller,3
object100_tf_mobilenet_v2_00_10,porte-mine,other,2
object100_tf_mobilenet_v2_00_10,porte-mine,pc-stand,2
object100_tf_mobilenet_v2_00_10,porte-mine,porte-mine,17
