model,wanted,prediction,count
object100_pt_mobilenet_v2_02_168,ecouteurs,ecouteurs,16
object100_pt_mobilenet_v2_02_168,ecouteurs,keycap-puller,0
object100_pt_mobilenet_v2_02_168,ecouteurs,other,0
object100_pt_mobilenet_v2_02_168,ecouteurs,pc-stand,0
object100_pt_mobilenet_v2_02_168,ecouteurs,porte-mine,0
object100_pt_mobilenet_v2_02_168,keycap-puller,ecouteurs,0
object100_pt_mobilenet_v2_02_168,keycap-puller,keycap-puller,27
object100_pt_mobilenet_v2_02_168,keycap-puller,other,1
object100_pt_mobilenet_v2_02_168,keycap-puller,pc-stand,0
object100_pt_mobilenet_v2_02_168,keycap-puller,porte-mine,1
object100_pt_mobilenet_v2_02_168,other,ecouteurs,1
object100_pt_mobilenet_v2_02_168,other,keycap-puller,1
object100_pt_mobilenet_v2_02_168,other,other,17
object100_pt_mobilenet_v2_02_168,other,pc-stand,0
object100_pt_mobilenet_v2_02_168,other,porte-mine,0
object100_pt_mobilenet_v2_02_168,pc-stand,ecouteurs,0
object100_pt_mobilenet_v2_02_168,pc-stand,keycap-puller,0
object100_pt_mobilenet_v2_02_168,pc-stand,other,0
object100_pt_mobilenet_v2_02_168,pc-stand,pc-stand,15
object100_pt_mobilenet_v2_02_168,pc-stand,porte-mine,1
object100_pt_mobilenet_v2_02_168,porte-mine,ecouteurs,0
object100_pt_mobilenet_v2_02_168,porte-mine,keycap-puller,0
object100_pt_mobilenet_v2_02_168,porte-mine,other,0
object100_pt_mobilenet_v2_02_168,porte-mine,pc-stand,0
object100_pt_mobilenet_v2_02_168,porte-mine,porte-mine,19
