model,wanted,prediction,count
object100_pt_efficientnet_b0_00_37,ecouteurs,ecouteurs,16
object100_pt_efficientnet_b0_00_37,ecouteurs,keycap-puller,0
object100_pt_efficientnet_b0_00_37,ecouteurs,other,0
object100_pt_efficientnet_b0_00_37,ecouteurs,pc-stand,0
object100_pt_efficientnet_b0_00_37,ecouteurs,porte-mine,0
object100_pt_efficientnet_b0_00_37,keycap-puller,ecouteurs,0
object100_pt_efficientnet_b0_00_37,keycap-puller,keycap-puller,28
object100_pt_efficientnet_b0_00_37,keycap-puller,other,1
object100_pt_efficientnet_b0_00_37,keycap-puller,pc-stand,0
object100_pt_efficientnet_b0_00_37,keycap-puller,porte-mine,0
object100_pt_efficientnet_b0_00_37,other,ecouteurs,2
object100_pt_efficientnet_b0_00_37,other,keycap-puller,1
object100_pt_efficientnet_b0_00_37,other,other,16
object100_pt_efficientnet_b0_00_37,other,pc-stand,0
object100_pt_efficientnet_b0_00_37,other,porte-mine,0
object100_pt_efficientnet_b0_00_37,pc-stand,ecouteurs,0
object100_pt_efficientnet_b0_00_37,pc-stand,keycap-puller,0
object100_pt_efficientnet_b0_00_37,pc-stand,other,0
object100_pt_efficientnet_b0_00_37,pc-stand,pc-stand,16
object100_pt_efficientnet_b0_00_37,pc-stand,porte-mine,0
object100_pt_efficientnet_b0_00_37,porte-mine,ecouteurs,0
object100_pt_efficientnet_b0_00_37,porte-mine,keycap-puller,1
object100_pt_efficientnet_b0_00_37,porte-mine,other,1
object100_pt_efficientnet_b0_00_37,porte-mine,pc-stand,0
object100_pt_efficientnet_b0_00_37,porte-mine,porte-mine,17
