model,wanted,prediction,count
object100_pt_mobilenet_v2_01_11,ecouteurs,ecouteurs,16
object100_pt_mobilenet_v2_01_11,ecouteurs,keycap-puller,0
object100_pt_mobilenet_v2_01_11,ecouteurs,other,0
object100_pt_mobilenet_v2_01_11,ecouteurs,pc-stand,0
object100_pt_mobilenet_v2_01_11,ecouteurs,porte-mine,0
object100_pt_mobilenet_v2_01_11,keycap-puller,ecouteurs,0
object100_pt_mobilenet_v2_01_11,keycap-puller,keycap-puller,22
object100_pt_mobilenet_v2_01_11,keycap-puller,other,2
object100_pt_mobilenet_v2_01_11,keycap-puller,pc-stand,0
object100_pt_mobilenet_v2_01_11,keycap-puller,porte-mine,5
object100_pt_mobilenet_v2_01_11,other,ecouteurs,0
object100_pt_mobilenet_v2_01_11,other,keycap-puller,1
object100_pt_mobilenet_v2_01_11,other,other,17
object100_pt_mobilenet_v2_01_11,other,pc-stand,0
object100_pt_mobilenet_v2_01_11,other,porte-mine,1
object100_pt_mobilenet_v2_01_11,pc-stand,ecouteurs,0
object100_pt_mobilenet_v2_01_11,pc-stand,keycap-puller,0
object100_pt_mobilenet_v2_01_11,pc-stand,other,0
object100_pt_mobilenet_v2_01_11,pc-stand,pc-stand,15
object100_pt_mobilenet_v2_01_11,pc-stand,porte-mine,1
object100_pt_mobilenet_v2_01_11,porte-mine,ecouteurs,0
object100_pt_mobilenet_v2_01_11,porte-mine,keycap-puller,0
object100_pt_mobilenet_v2_01_11,porte-mine,other,0
object100_pt_mobilenet_v2_01_11,porte-mine,pc-stand,0
object100_pt_mobilenet_v2_01_11,porte-mine,porte-mine,19
