model,wanted,prediction,count
object100_pt_efficientnet_b0_00_17,ecouteurs,ecouteurs,16
object100_pt_efficientnet_b0_00_17,ecouteurs,keycap-puller,0
object100_pt_efficientnet_b0_00_17,ecouteurs,other,0
object100_pt_efficientnet_b0_00_17,ecouteurs,pc-stand,0
object100_pt_efficientnet_b0_00_17,ecouteurs,porte-mine,0
object100_pt_efficientnet_b0_00_17,keycap-puller,ecouteurs,0
object100_pt_efficientnet_b0_00_17,keycap-puller,keycap-puller,26
object100_pt_efficientnet_b0_00_17,keycap-puller,other,1
object100_pt_efficientnet_b0_00_17,keycap-puller,pc-stand,0
object100_pt_efficientnet_b0_00_17,keycap-puller,porte-mine,2
object100_pt_efficientnet_b0_00_17,other,ecouteurs,1
object100_pt_efficientnet_b0_00_17,other,keycap-puller,1
object100_pt_efficientnet_b0_00_17,other,other,17
object100_pt_efficientnet_b0_00_17,other,pc-stand,0
object100_pt_efficientnet_b0_00_17,other,porte-mine,0
object100_pt_efficientnet_b0_00_17,pc-stand,ecouteurs,0
object100_pt_efficientnet_b0_00_17,pc-stand,keycap-puller,0
object100_pt_efficientnet_b0_00_17,pc-stand,other,0
object100_pt_efficientnet_b0_00_17,pc-stand,pc-stand,16
object100_pt_efficientnet_b0_00_17,pc-stand,porte-mine,0
object100_pt_efficientnet_b0_00_17,porte-mine,ecouteurs,0
object100_pt_efficientnet_b0_00_17,porte-mine,keycap-puller,0
object100_pt_efficientnet_b0_00_17,porte-mine,other,0
object100_pt_efficientnet_b0_00_17,porte-mine,pc-stand,0
object100_pt_efficientnet_b0_00_17,porte-mine,porte-mine,19
