model,wanted,prediction,count
object100_tf_efficientnet_b0_00_33,ecouteurs,ecouteurs,23
object100_tf_efficientnet_b0_00_33,ecouteurs,keycap-puller,0
object100_tf_efficientnet_b0_00_33,ecouteurs,other,0
object100_tf_efficientnet_b0_00_33,ecouteurs,pc-stand,0
object100_tf_efficientnet_b0_00_33,ecouteurs,porte-mine,0
object100_tf_efficientnet_b0_00_33,keycap-puller,ecouteurs,0
object100_tf_efficientnet_b0_00_33,keycap-puller,keycap-puller,21
object100_tf_efficientnet_b0_00_33,keycap-puller,other,1
object100_tf_efficientnet_b0_00_33,keycap-puller,pc-stand,0
object100_tf_efficientnet_b0_00_33,keycap-puller,porte-mine,0
object100_tf_efficientnet_b0_00_33,other,ecouteurs,0
object100_tf_efficientnet_b0_00_33,other,keycap-puller,0
object100_tf_efficientnet_b0_00_33,other,other,13
object100_tf_efficientnet_b0_00_33,other,pc-stand,0
object100_tf_efficientnet_b0_00_33,other,porte-mine,0
object100_tf_efficientnet_b0_00_33,pc-stand,ecouteurs,0
object100_tf_efficientnet_b0_00_33,pc-stand,keycap-puller,0
object100_tf_efficientnet_b0_00_33,pc-stand,other,0
object100_tf_efficientnet_b0_00_33,pc-stand,pc-stand,16
object100_tf_efficientnet_b0_00_33,pc-stand,porte-mine,0
object100_tf_efficientnet_b0_00_33,porte-mine,ecouteurs,0
object100_tf_efficientnet_b0_00_33,porte-mine,keycap-puller,1
object100_tf_efficientnet_b0_00_33,porte-mine,other,1
object100_tf_efficientnet_b0_00_33,porte-mine,pc-stand,0
object100_tf_efficientnet_b0_00_33,porte-mine,porte-mine,23
