model,wanted,prediction,count
object100_pt_mobilenet_v2_01_48,ecouteurs,ecouteurs,16
object100_pt_mobilenet_v2_01_48,ecouteurs,keycap-puller,0
object100_pt_mobilenet_v2_01_48,ecouteurs,other,0
object100_pt_mobilenet_v2_01_48,ecouteurs,pc-stand,0
object100_pt_mobilenet_v2_01_48,ecouteurs,porte-mine,0
object100_pt_mobilenet_v2_01_48,keycap-puller,ecouteurs,0
object100_pt_mobilenet_v2_01_48,keycap-puller,keycap-puller,25
object100_pt_mobilenet_v2_01_48,keycap-puller,other,2
object100_pt_mobilenet_v2_01_48,keycap-puller,pc-stand,0
object100_pt_mobilenet_v2_01_48,keycap-puller,porte-mine,2
object100_pt_mobilenet_v2_01_48,other,ecouteurs,1
object100_pt_mobilenet_v2_01_48,other,keycap-puller,1
object100_pt_mobilenet_v2_01_48,other,other,17
object100_pt_mobilenet_v2_01_48,other,pc-stand,0
object100_pt_mobilenet_v2_01_48,other,porte-mine,0
object100_pt_mobilenet_v2_01_48,pc-stand,ecouteurs,0
object100_pt_mobilenet_v2_01_48,pc-stand,keycap-puller,0
object100_pt_mobilenet_v2_01_48,pc-stand,other,0
object100_pt_mobilenet_v2_01_48,pc-stand,pc-stand,15
object100_pt_mobilenet_v2_01_48,pc-stand,porte-mine,1
object100_pt_mobilenet_v2_01_48,porte-mine,ecouteurs,0
object100_pt_mobilenet_v2_01_48,porte-mine,keycap-puller,1
object100_pt_mobilenet_v2_01_48,porte-mine,other,0
object100_pt_mobilenet_v2_01_48,porte-mine,pc-stand,0
object100_pt_mobilenet_v2_01_48,porte-mine,porte-mine,18
