model,wanted,prediction,count
object100_tf_mobilenet_v2_00_46,ecouteurs,ecouteurs,23
object100_tf_mobilenet_v2_00_46,ecouteurs,keycap-puller,0
object100_tf_mobilenet_v2_00_46,ecouteurs,other,0
object100_tf_mobilenet_v2_00_46,ecouteurs,pc-stand,0
object100_tf_mobilenet_v2_00_46,ecouteurs,porte-mine,0
object100_tf_mobilenet_v2_00_46,keycap-puller,ecouteurs,0
object100_tf_mobilenet_v2_00_46,keycap-puller,keycap-puller,18
object100_tf_mobilenet_v2_00_46,keycap-puller,other,2
object100_tf_mobilenet_v2_00_46,keycap-puller,pc-stand,0
object100_tf_mobilenet_v2_00_46,keycap-puller,porte-mine,2
object100_tf_mobilenet_v2_00_46,other,ecouteurs,1
object100_tf_mobilenet_v2_00_46,other,keycap-puller,0
object100_tf_mobilenet_v2_00_46,other,other,12
object100_tf_mobilenet_v2_00_46,other,pc-stand,0
object100_tf_mobilenet_v2_00_46,other,porte-mine,0
object100_tf_mobilenet_v2_00_46,pc-stand,ecouteurs,0
object100_tf_mobilenet_v2_00_46,pc-stand,keycap-puller,0
object100_tf_mobilenet_v2_00_46,pc-stand,other,0
object100_tf_mobilenet_v2_00_46,pc-stand,pc-stand,16
object100_tf_mobilenet_v2_00_46,pc-stand,porte-mine,0
object100_tf_mobilenet_v2_00_46,porte-mine,ecouteurs,1
object100_tf_mobilenet_v2_00_46,porte-mine,keycap-puller,1
object100_tf_mobilenet_v2_00_46,porte-mine,other,2
object100_tf_mobilenet_v2_00_46,porte-mine,pc-stand,0
object100_tf_mobilenet_v2_00_46,porte-mine,porte-mine,21
