model,wanted,prediction,count
object100_tf_efficientnet_b0_00_31,ecouteurs,ecouteurs,23
object100_tf_efficientnet_b0_00_31,ecouteurs,keycap-puller,0
object100_tf_efficientnet_b0_00_31,ecouteurs,other,0
object100_tf_efficientnet_b0_00_31,ecouteurs,pc-stand,0
object100_tf_efficientnet_b0_00_31,ecouteurs,porte-mine,0
object100_tf_efficientnet_b0_00_31,keycap-puller,ecouteurs,0
object100_tf_efficientnet_b0_00_31,keycap-puller,keycap-puller,20
object100_tf_efficientnet_b0_00_31,keycap-puller,other,1
object100_tf_efficientnet_b0_00_31,keycap-puller,pc-stand,0
object100_tf_efficientnet_b0_00_31,keycap-puller,porte-mine,1
object100_tf_efficientnet_b0_00_31,other,ecouteurs,0
object100_tf_efficientnet_b0_00_31,other,keycap-puller,0
object100_tf_efficientnet_b0_00_31,other,other,13
object100_tf_efficientnet_b0_00_31,other,pc-stand,0
object100_tf_efficientnet_b0_00_31,other,porte-mine,0
object100_tf_efficientnet_b0_00_31,pc-stand,ecouteurs,0
object100_tf_efficientnet_b0_00_31,pc-stand,keycap-puller,0
object100_tf_efficientnet_b0_00_31,pc-stand,other,0
object100_tf_efficientnet_b0_00_31,pc-stand,pc-stand,16
object100_tf_efficientnet_b0_00_31,pc-stand,porte-mine,0
object100_tf_efficientnet_b0_00_31,porte-mine,ecouteurs,0
object100_tf_efficientnet_b0_00_31,porte-mine,keycap-puller,1
object100_tf_efficientnet_b0_00_31,porte-mine,other,0
object100_tf_efficientnet_b0_00_31,porte-mine,pc-stand,1
object100_tf_efficientnet_b0_00_31,porte-mine,porte-mine,23
