model,wanted,prediction,count
object100_pt_mobilenet_v2_02_205,ecouteurs,ecouteurs,16
object100_pt_mobilenet_v2_02_205,ecouteurs,keycap-puller,0
object100_pt_mobilenet_v2_02_205,ecouteurs,other,0
object100_pt_mobilenet_v2_02_205,ecouteurs,pc-stand,0
object100_pt_mobilenet_v2_02_205,ecouteurs,porte-mine,0
object100_pt_mobilenet_v2_02_205,keycap-puller,ecouteurs,0
object100_pt_mobilenet_v2_02_205,keycap-puller,keycap-puller,27
object100_pt_mobilenet_v2_02_205,keycap-puller,other,1
object100_pt_mobilenet_v2_02_205,keycap-puller,pc-stand,1
object100_pt_mobilenet_v2_02_205,keycap-puller,porte-mine,0
object100_pt_mobilenet_v2_02_205,other,ecouteurs,1
object100_pt_mobilenet_v2_02_205,other,keycap-puller,1
object100_pt_mobilenet_v2_02_205,other,other,17
object100_pt_mobilenet_v2_02_205,other,pc-stand,0
object100_pt_mobilenet_v2_02_205,other,porte-mine,0
object100_pt_mobilenet_v2_02_205,pc-stand,ecouteurs,0
object100_pt_mobilenet_v2_02_205,pc-stand,keycap-puller,0
object100_pt_mobilenet_v2_02_205,pc-stand,other,0
object100_pt_mobilenet_v2_02_205,pc-stand,pc-stand,16
object100_pt_mobilenet_v2_02_205,pc-stand,porte-mine,0
object100_pt_mobilenet_v2_02_205,porte-mine,ecouteurs,0
object100_pt_mobilenet_v2_02_205,porte-mine,keycap-puller,0
object100_pt_mobilenet_v2_02_205,porte-mine,other,0
object100_pt_mobilenet_v2_02_205,porte-mine,pc-stand,0
object100_pt_mobilenet_v2_02_205,porte-mine,porte-mine,19
