model,wanted,prediction,count
object100_pt_mobilenet_v2_01_409,ecouteurs,ecouteurs,16
object100_pt_mobilenet_v2_01_409,ecouteurs,keycap-puller,0
object100_pt_mobilenet_v2_01_409,ecouteurs,other,0
object100_pt_mobilenet_v2_01_409,ecouteurs,pc-stand,0
object100_pt_mobilenet_v2_01_409,ecouteurs,porte-mine,0
object100_pt_mobilenet_v2_01_409,keycap-puller,ecouteurs,0
object100_pt_mobilenet_v2_01_409,keycap-puller,keycap-puller,24
object100_pt_mobilenet_v2_01_409,keycap-puller,other,1
object100_pt_mobilenet_v2_01_409,keycap-puller,pc-stand,0
object100_pt_mobilenet_v2_01_409,keycap-puller,porte-mine,4
object100_pt_mobilenet_v2_01_409,other,ecouteurs,0
object100_pt_mobilenet_v2_01_409,other,keycap-puller,2
object100_pt_mobilenet_v2_01_409,other,other,14
object100_pt_mobilenet_v2_01_409,other,pc-stand,1
object100_pt_mobilenet_v2_01_409,other,porte-mine,2
object100_pt_mobilenet_v2_01_409,pc-stand,ecouteurs,0
object100_pt_mobilenet_v2_01_409,pc-stand,keycap-puller,0
object100_pt_mobilenet_v2_01_409,pc-stand,other,0
object100_pt_mobilenet_v2_01_409,pc-stand,pc-stand,15
object100_pt_mobilenet_v2_01_409,pc-stand,porte-mine,1
object100_pt_mobilenet_v2_01_409,porte-mine,ecouteurs,0
object100_pt_mobilenet_v2_01_409,porte-mine,keycap-puller,0
object100_pt_mobilenet_v2_01_409,porte-mine,other,0
object100_pt_mobilenet_v2_01_409,porte-mine,pc-stand,0
object100_pt_mobilenet_v2_01_409,porte-mine,porte-mine,19
