model,wanted,prediction,count
object100_pt_efficientnet_b0_00_24,ecouteurs,ecouteurs,16
object100_pt_efficientnet_b0_00_24,ecouteurs,keycap-puller,0
object100_pt_efficientnet_b0_00_24,ecouteurs,other,0
object100_pt_efficientnet_b0_00_24,ecouteurs,pc-stand,0
object100_pt_efficientnet_b0_00_24,ecouteurs,porte-mine,0
object100_pt_efficientnet_b0_00_24,keycap-puller,ecouteurs,0
object100_pt_efficientnet_b0_00_24,keycap-puller,keycap-puller,26
object100_pt_efficientnet_b0_00_24,keycap-puller,other,1
object100_pt_efficientnet_b0_00_24,keycap-puller,pc-stand,0
object100_pt_efficientnet_b0_00_24,keycap-puller,porte-mine,2
object100_pt_efficientnet_b0_00_24,other,ecouteurs,1
object100_pt_efficientnet_b0_00_24,other,keycap-puller,1
object100_pt_efficientnet_b0_00_24,other,other,17
object100_pt_efficientnet_b0_00_24,other,pc-stand,0
object100_pt_efficientnet_b0_00_24,other,porte-mine,0
object100_pt_efficientnet_b0_00_24,pc-stand,ecouteurs,0
object100_pt_efficientnet_b0_00_24,pc-stand,keycap-puller,0
object100_pt_efficientnet_b0_00_24,pc-stand,other,0
object100_pt_efficientnet_b0_00_24,pc-stand,pc-stand,16
object100_pt_efficientnet_b0_00_24,pc-stand,porte-mine,0
object100_pt_efficientnet_b0_00_24,porte-mine,ecouteurs,0
object100_pt_efficientnet_b0_00_24,porte-mine,keycap-puller,0
object100_pt_efficientnet_b0_00_24,porte-mine,other,0
object100_pt_efficientnet_b0_00_24,porte-mine,pc-stand,0
object100_pt_efficientnet_b0_00_24,porte-mine,porte-mine,19
